Doença,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4,Sintoma_5,Sintoma_6,Sintoma_7,Sintoma_8,Sintoma_9,Sintoma_10,Sintoma_11,Sintoma_12,Sintoma_13,Sintoma_14,Sintoma_15,Sintoma_16,Sintoma_17
Colestase Crônica,coceira,pele amarelada,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,náusea,dor abdominal,amarelamento dos olhos,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,náusea,perda de apetite,amarelamento dos olhos,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,náusea,perda de apetite,dor abdominal,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,dor de estômago,micção ardente,urinação com pontos,,,,,,,,,,,,
Reação a Medicamentos,coceira,dor de estômago,micção ardente,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,micção ardente,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,dor de estômago,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,dor de estômago,micção ardente,,,,,,,,,,,,,
Reação a Medicamentos,erupção cutânea,dor de estômago,micção ardente,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,dor de estômago,micção ardente,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,micção ardente,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,dor de estômago,urinação com pontos,,,,,,,,,,,,,
Reação a Medicamentos,coceira,erupção cutânea,dor de estômago,micção ardente,,,,,,,,,,,,,
Úlcera Péptica,vômitos,perda de apetite,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,,
Úlcera Péptica,indigestão,perda de apetite,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,,
Úlcera Péptica,vômitos,perda de apetite,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,perda de apetite,liberação de gases,coceira interna,,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,perda de apetite,dor abdominal,coceira interna,,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,perda de apetite,dor abdominal,liberação de gases,,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,perda de apetite,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,
Úlcera Péptica,vômitos,indigestão,perda de apetite,dor abdominal,liberação de gases,coceira interna,,,,,,,,,,,
AIDS,atrofia muscular,manchas na garganta,febre alta,contatos extraconjugais,,,,,,,,,,,,,
AIDS,manchas na garganta,febre alta,contatos extraconjugais,,,,,,,,,,,,,,
AIDS,atrofia muscular,febre alta,contatos extraconjugais,,,,,,,,,,,,,,
AIDS,atrofia muscular,manchas na garganta,contatos extraconjugais,,,,,,,,,,,,,,
AIDS,atrofia muscular,manchas na garganta,febre alta,,,,,,,,,,,,,,
AIDS,atrofia muscular,manchas na garganta,febre alta,contatos extraconjugais,,,,,,,,,,,,,
AIDS,atrofia muscular,manchas na garganta,febre alta,contatos extraconjugais,,,,,,,,,,,,,
AIDS,manchas na garganta,febre alta,contatos extraconjugais,,,,,,,,,,,,,,
AIDS,atrofia muscular,febre alta,contatos extraconjugais,,,,,,,,,,,,,,
AIDS,atrofia muscular,manchas na garganta,febre alta,,,,,,,,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,letargia,níveis irregulares de açúcar,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,letargia,níveis irregulares de açúcar,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,
Diabetes,perda de peso,inquietude,letargia,níveis irregulares de açúcar,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,inquietude,letargia,níveis irregulares de açúcar,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,perda de peso,letargia,níveis irregulares de açúcar,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,níveis irregulares de açúcar,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,letargia,visão turva e distorcida,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,letargia,níveis irregulares de açúcar,obesidade,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,letargia,níveis irregulares de açúcar,visão turva e distorcida,fome excessiva,aumento do apetite,poliúria,,,,,,,,
Diabetes,fadiga,perda de peso,inquietude,letargia,níveis irregulares de açúcar,visão turva e distorcida,obesidade,aumento do apetite,poliúria,,,,,,,,
Gastroenterite,vômitos,olhos afundados,desidratação,diarreia,,,,,,,,,,,,,
Gastroenterite,vômitos,olhos afundados,desidratação,diarreia,,,,,,,,,,,,,
Gastroenterite,olhos afundados,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômitos,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômitos,olhos afundados,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômitos,olhos afundados,desidratação,,,,,,,,,,,,,,
Gastroenterite,vômitos,olhos afundados,desidratação,diarreia,,,,,,,,,,,,,
Gastroenterite,olhos afundados,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômitos,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômitos,olhos afundados,diarreia,,,,,,,,,,,,,,
Asma Brônquica,fadiga,tosse,febre alta,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,
Asma Brônquica,tosse,febre alta,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,,
Asma Brônquica,fadiga,febre alta,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,,
Asma Brônquica,fadiga,tosse,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,,
Asma Brônquica,fadiga,tosse,febre alta,histórico familiar,escarro mucoso,,,,,,,,,,,,
Asma Brônquica,fadiga,tosse,febre alta,falta de ar,escarro mucoso,,,,,,,,,,,,
Asma Brônquica,fadiga,tosse,febre alta,falta de ar,histórico familiar,,,,,,,,,,,,
Asma Brônquica,fadiga,tosse,febre alta,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,
Asma Brônquica,tosse,febre alta,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,,
Asma Brônquica,fadiga,febre alta,falta de ar,histórico familiar,escarro mucoso,,,,,,,,,,,,
Hipertensão,dor de cabeça,dor no peito,tontura,perda de equilíbrio,falta de concentração,,,,,,,,,,,,
Hipertensão,dor no peito,tontura,perda de equilíbrio,falta de concentração,,,,,,,,,,,,,
Hipertensão,dor de cabeça,tontura,perda de equilíbrio,falta de concentração,,,,,,,,,,,,,
Hipertensão,dor de cabeça,dor no peito,perda de equilíbrio,falta de concentração,,,,,,,,,,,,,
Hipertensão,dor de cabeça,dor no peito,tontura,falta de concentração,,,,,,,,,,,,,
Hipertensão,dor de cabeça,dor no peito,tontura,perda de equilíbrio,,,,,,,,,,,,,
Hipertensão,dor de cabeça,dor no peito,tontura,perda de equilíbrio,falta de concentração,,,,,,,,,,,,
Hipertensão,dor no peito,tontura,perda de equilíbrio,falta de concentração,,,,,,,,,,,,,
Hipertensão,dor de cabeça,tontura,perda de equilíbrio,falta de concentração,,,,,,,,,,,,,
Hipertensão,dor de cabeça,dor no peito,perda de equilíbrio,falta de concentração,,,,,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,visão turva e distorcida,fome excessiva,pescoço rígido,depressão,irritabilidade,distúrbios visuais,,,,,,,,
Enxaqueca,indigestão,dor de cabeça,visão turva e distorcida,fome excessiva,pescoço rígido,depressão,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,dor de cabeça,visão turva e distorcida,fome excessiva,pescoço rígido,depressão,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,visão turva e distorcida,fome excessiva,pescoço rígido,depressão,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,fome excessiva,pescoço rígido,depressão,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,visão turva e distorcida,pescoço rígido,depressão,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,visão turva e distorcida,fome excessiva,depressão,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,visão turva e distorcida,fome excessiva,pescoço rígido,irritabilidade,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,visão turva e distorcida,fome excessiva,pescoço rígido,depressão,distúrbios visuais,,,,,,,,,
Enxaqueca,acidez,indigestão,dor de cabeça,visão turva e distorcida,fome excessiva,pescoço rígido,depressão,irritabilidade,,,,,,,,,
Espondilose Cervical,dor nas costas,fraqueza nos membros,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,fraqueza nos membros,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,
Espondilose Cervical,fraqueza nos membros,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,fraqueza nos membros,tontura,perda de equilíbrio,,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,fraqueza nos membros,dor no pescoço,perda de equilíbrio,,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,fraqueza nos membros,dor no pescoço,tontura,,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,fraqueza nos membros,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,
Espondilose Cervical,fraqueza nos membros,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,,
Espondilose Cervical,dor nas costas,dor no pescoço,tontura,perda de equilíbrio,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,dor de cabeça,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,dor de cabeça,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),dor de cabeça,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,dor de cabeça,sensorium alterado,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,dor de cabeça,fraqueza de um lado do corpo,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,dor de cabeça,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),dor de cabeça,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,fraqueza de um lado do corpo,sensorium alterado,,,,,,,,,,,,,,
Paralisia (hemorragia cerebral),vômitos,dor de cabeça,sensorium alterado,,,,,,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,perda de peso,febre alta,pele amarelada,urina escura,dor abdominal,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,perda de peso,febre alta,pele amarelada,urina escura,dor abdominal,,,,,,,,,
Icterícia,vômitos,fadiga,perda de peso,febre alta,pele amarelada,urina escura,dor abdominal,,,,,,,,,,
Icterícia,coceira,fadiga,perda de peso,febre alta,pele amarelada,urina escura,dor abdominal,,,,,,,,,,
Icterícia,coceira,vômitos,perda de peso,febre alta,pele amarelada,urina escura,dor abdominal,,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,febre alta,pele amarelada,urina escura,dor abdominal,,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,perda de peso,pele amarelada,urina escura,dor abdominal,,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,perda de peso,febre alta,urina escura,dor abdominal,,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,perda de peso,febre alta,pele amarelada,dor abdominal,,,,,,,,,,
Icterícia,coceira,vômitos,fadiga,perda de peso,febre alta,pele amarelada,urina escura,,,,,,,,,,
Malária,calafrios,vômitos,febre alta,suor,dor de cabeça,náusea,dor muscular,,,,,,,,,,
Malária,calafrios,vômitos,febre alta,suor,dor de cabeça,náusea,diarreia,dor muscular,,,,,,,,,
Malária,calafrios,vômitos,febre alta,suor,dor de cabeça,náusea,diarreia,dor muscular,,,,,,,,,
Malária,vômitos,febre alta,suor,dor de cabeça,náusea,diarreia,dor muscular,,,,,,,,,,
Malária,calafrios,febre alta,suor,dor de cabeça,náusea,diarreia,dor muscular,,,,,,,,,,
Malária,calafrios,vômitos,suor,dor de cabeça,náusea,diarreia,dor muscular,,,,,,,,,,
Malária,calafrios,vômitos,febre alta,dor de cabeça,náusea,diarreia,dor muscular,,,,,,,,,,
Malária,calafrios,vômitos,febre alta,suor,náusea,diarreia,dor muscular,,,,,,,,,,
Malária,calafrios,vômitos,febre alta,suor,dor de cabeça,diarreia,dor muscular,,,,,,,,,,
Malária,calafrios,vômitos,febre alta,suor,dor de cabeça,náusea,dor muscular,,,,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,letargia,febre alta,dor de cabeça,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,
Varicela,erupção cutânea,fadiga,letargia,febre alta,dor de cabeça,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,fadiga,letargia,febre alta,dor de cabeça,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,letargia,febre alta,dor de cabeça,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,febre alta,dor de cabeça,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,letargia,dor de cabeça,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,letargia,febre alta,perda de apetite,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,letargia,febre alta,dor de cabeça,febre leve,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,letargia,febre alta,dor de cabeça,perda de apetite,linfonodos inchados,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Varicela,coceira,erupção cutânea,fadiga,letargia,febre alta,dor de cabeça,perda de apetite,febre leve,mal-estar,manchas vermelhas pelo corpo,,,,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,dor muscular,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,
Dengue,calafrios,dor nas articulações,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,dor nas articulações,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,fadiga,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,vômitos,febre alta,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,,
Dengue,erupção cutânea,calafrios,dor nas articulações,vômitos,fadiga,dor de cabeça,náusea,perda de apetite,dor atrás dos olhos,dor nas costas,mal-estar,dor muscular,manchas vermelhas pelo corpo,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,náusea,constipação,dor abdominal,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,constipação,dor abdominal,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,dor abdominal,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,constipação,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,constipação,dor abdominal,aspecto tóxico (tifos),dor na barriga,,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,constipação,dor abdominal,diarreia,dor na barriga,,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,constipação,dor abdominal,diarreia,aspecto tóxico (tifos),,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,constipação,dor abdominal,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,
Tifoide,calafrios,vômitos,fadiga,febre alta,dor de cabeça,náusea,constipação,dor abdominal,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,
Tifoide,calafrios,fadiga,febre alta,dor de cabeça,náusea,constipação,dor abdominal,diarreia,aspecto tóxico (tifos),dor na barriga,,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,
Hepatite A,vômitos,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,vômitos,urina escura,náusea,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,náusea,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,urina escura,perda de apetite,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,urina escura,náusea,dor abdominal,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,urina escura,náusea,perda de apetite,diarreia,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite A,dor nas articulações,vômitos,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,febre leve,amarelamento dos olhos,dor muscular,,,,,,,
Hepatite B,coceira,fadiga,letargia,pele amarelada,urina escura,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,
Hepatite B,coceira,fadiga,letargia,pele amarelada,urina escura,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,
Hepatite B,fadiga,letargia,pele amarelada,urina escura,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,letargia,pele amarelada,urina escura,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,fadiga,pele amarelada,urina escura,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,fadiga,letargia,urina escura,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,fadiga,letargia,pele amarelada,perda de apetite,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,fadiga,letargia,pele amarelada,urina escura,dor abdominal,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,fadiga,letargia,pele amarelada,urina escura,perda de apetite,urina amarela,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite B,coceira,fadiga,letargia,pele amarelada,urina escura,perda de apetite,dor abdominal,amarelamento dos olhos,mal-estar,recebimento de transfusão de sangue,recebimento de injeções não estéreis,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,perda de apetite,histórico familiar,,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,perda de apetite,amarelamento dos olhos,histórico familiar,,,,,,,,,,,
Hepatite C,pele amarelada,náusea,perda de apetite,amarelamento dos olhos,histórico familiar,,,,,,,,,,,,
Hepatite C,fadiga,náusea,perda de apetite,amarelamento dos olhos,histórico familiar,,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,perda de apetite,amarelamento dos olhos,histórico familiar,,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,amarelamento dos olhos,histórico familiar,,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,perda de apetite,histórico familiar,,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,perda de apetite,amarelamento dos olhos,,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,perda de apetite,amarelamento dos olhos,histórico familiar,,,,,,,,,,,
Hepatite C,fadiga,pele amarelada,náusea,perda de apetite,amarelamento dos olhos,histórico familiar,,,,,,,,,,,
Hepatite D,dor nas articulações,vômitos,fadiga,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,
Hepatite D,vômitos,fadiga,pele amarelada,urina escura,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,
